index,Malicious,Pred
1728,1.0,1.0
644,0.0,1.0
3744,1.0,1.0
665,1.0,1.0
929,1.0,1.0
915,1.0,1.0
2303,1.0,1.0
3475,1.0,1.0
3976,1.0,1.0
2457,1.0,1.0
2519,0.0,1.0
2466,1.0,1.0
794,1.0,1.0
3651,1.0,1.0
246,1.0,1.0
3612,1.0,1.0
734,1.0,1.0
505,0.0,1.0
1869,0.0,1.0
923,1.0,1.0
2861,1.0,1.0
2092,1.0,1.0
3501,1.0,1.0
2439,1.0,1.0
532,1.0,1.0
2318,0.0,0.0
108,0.0,1.0
3656,0.0,1.0
1006,0.0,1.0
3737,1.0,1.0
1765,1.0,1.0
2364,1.0,1.0
3782,1.0,1.0
3022,1.0,1.0
3814,1.0,1.0
543,1.0,1.0
1815,1.0,1.0
2531,1.0,1.0
3933,1.0,1.0
3250,1.0,1.0
2727,1.0,1.0
259,1.0,1.0
1832,1.0,1.0
1829,0.0,1.0
2374,1.0,1.0
2176,1.0,1.0
927,1.0,1.0
612,1.0,1.0
1962,1.0,1.0
4011,1.0,1.0
219,1.0,1.0
3181,1.0,1.0
485,1.0,1.0
3527,0.0,1.0
2459,1.0,1.0
3579,0.0,1.0
1644,1.0,0.0
258,1.0,1.0
3221,1.0,1.0
386,0.0,1.0
847,1.0,1.0
3992,1.0,1.0
2503,0.0,1.0
1034,1.0,1.0
3486,0.0,1.0
3463,1.0,1.0
1670,1.0,1.0
3863,1.0,1.0
3497,1.0,1.0
2167,1.0,1.0
2591,1.0,1.0
3128,0.0,1.0
3661,1.0,1.0
2091,1.0,1.0
2078,1.0,1.0
507,0.0,1.0
7,1.0,1.0
3650,1.0,1.0
2067,1.0,0.0
3908,1.0,1.0
2119,0.0,0.0
3169,1.0,1.0
3915,0.0,0.0
2822,0.0,1.0
678,0.0,1.0
3511,1.0,1.0
2404,1.0,1.0
1011,1.0,1.0
65,1.0,1.0
4042,1.0,0.0
3116,1.0,1.0
2907,0.0,1.0
679,0.0,1.0
1894,1.0,1.0
781,1.0,1.0
3649,1.0,1.0
3685,0.0,1.0
3918,1.0,1.0
2396,0.0,1.0
1427,1.0,1.0
3193,1.0,1.0
2181,1.0,1.0
883,1.0,1.0
382,1.0,1.0
2881,1.0,1.0
1378,1.0,1.0
2475,1.0,1.0
31,1.0,1.0
2215,0.0,1.0
3483,1.0,1.0
2916,1.0,1.0
610,0.0,0.0
570,0.0,1.0
343,0.0,1.0
1937,0.0,1.0
1697,1.0,1.0
3088,0.0,0.0
2533,1.0,1.0
1211,0.0,1.0
2641,0.0,1.0
2548,1.0,1.0
3129,1.0,1.0
2555,1.0,1.0
1174,0.0,1.0
965,0.0,1.0
528,1.0,1.0
176,0.0,1.0
422,1.0,1.0
3822,1.0,1.0
3306,1.0,1.0
3318,1.0,1.0
572,1.0,1.0
2780,0.0,1.0
288,0.0,1.0
2514,1.0,1.0
1426,1.0,1.0
2673,0.0,1.0
2500,1.0,1.0
1600,1.0,1.0
2132,1.0,1.0
1432,0.0,0.0
1176,1.0,1.0
4009,1.0,1.0
1779,1.0,1.0
1971,1.0,1.0
3151,1.0,1.0
370,0.0,1.0
1873,1.0,1.0
2592,1.0,1.0
1105,0.0,0.0
1424,1.0,1.0
1263,1.0,1.0
2366,1.0,1.0
141,1.0,1.0
3412,1.0,1.0
491,0.0,1.0
198,1.0,1.0
1839,1.0,0.0
1580,1.0,1.0
3285,1.0,1.0
1564,1.0,1.0
1499,1.0,1.0
195,1.0,1.0
874,1.0,1.0
2476,1.0,1.0
3344,0.0,0.0
840,1.0,1.0
581,1.0,1.0
3053,1.0,1.0
905,1.0,1.0
631,1.0,1.0
2053,1.0,1.0
162,0.0,1.0
2584,1.0,1.0
1320,1.0,1.0
2016,1.0,1.0
2702,1.0,1.0
925,0.0,1.0
3672,1.0,1.0
547,0.0,0.0
1322,0.0,1.0
1222,1.0,1.0
3490,1.0,1.0
2130,1.0,1.0
611,1.0,1.0
2228,1.0,1.0
3721,1.0,1.0
1551,1.0,1.0
1921,0.0,0.0
742,0.0,1.0
637,1.0,1.0
2316,1.0,0.0
2958,1.0,1.0
3845,0.0,1.0
1097,0.0,1.0
3657,0.0,1.0
48,1.0,1.0
1392,1.0,1.0
921,1.0,1.0
3621,1.0,1.0
756,0.0,1.0
3489,0.0,0.0
2402,0.0,0.0
1511,1.0,1.0
2337,1.0,1.0
1744,1.0,1.0
1362,0.0,1.0
1210,0.0,1.0
2250,1.0,1.0
2805,1.0,1.0
2941,1.0,1.0
2570,1.0,1.0
3729,1.0,1.0
2825,1.0,1.0
1373,1.0,1.0
1070,1.0,1.0
3741,0.0,1.0
2004,0.0,1.0
2478,0.0,0.0
3663,1.0,1.0
1764,1.0,0.0
3070,0.0,1.0
1907,1.0,1.0
1909,0.0,1.0
3137,1.0,1.0
2669,1.0,1.0
2297,0.0,1.0
2649,1.0,1.0
3554,0.0,1.0
